,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM
2,Media,Dulbecco’s Modified Eagle’s Medium (DMEM),Invitrogen,100000647,Y,N,N/A
3,Cleaning agent,70% Isopropanol,Various,A0000159,Y,N,N/A
4,Cleaning agent,Virkon,BRS019/CLE1554,A0000055,Y,N,RP 6
5,Agar,Noble Agar,Sigma A5431,100004420,N,N,N/A
6,Fix,Glutaraldehyde,AGAR  R1020,100004258,N,N,"KPBT0350
KPEM0002"
7,Fix,Paraformaldehyde,TAAB F017,100004191,N,N,KPBT0350
8,Buffer,Sodium Cacodylate,AGAR R1104,100004144,N,N,KPEM001
9,Fix,Osmium tetroxide,AGAR R1015,100003722,N,N,RP 323
10,Water,Distilled water sterile,Invitrogen,100000774,Y,N,N/A
11,Stain,Uranyl acetate,AGAR R1260A,100004066,N,N,"RP 337
RP 338"
12,Alcohol,100% Ethanol,153386F,A0000104,N,N,KPEM0009
13,Solvent,Propylene Oxide,TAAB P021,100004142,N,N,N/A
14,Embedding medium,Araldite CY212,TAAB E006,100003639,N,N,KPEM0010
15,Embedding medium,DDSA,TAAB D025,100003640,N,N,KPEM0010
16,Embedding medium,Dibutyl Phthalate,TAAB D011,100004143,N,N,KPEM0010
17,Embedding medium,DMP-30,TAAB D024,100004142,N,N,KPEM0010
18,Stain,Lead Nitrate,VWR International ltd 101453M,100004137,N,N,KPEM0012
19,Buffer,Sodium Tetraborate,Fisher BPE175-500,100004115,N,N,N/A
20,Buffer,Sodium Citrate,Sigma 51804,100001344,N,N,KPEM0012
21,Alkali,Sodium Hydroxide,Sigma 484024,100001584,N,N,KPEM 0011
22,Mounting media,DPX,TAAB M192,100004159,N,N,N/A
